Arrest Date,1 Convicted Criminal,2 Pending Criminal Charges,3 Other Immigration Violator,1 Convicted Criminal (7-day avg),2 Pending Criminal Charges (7-day avg),3 Other Immigration Violator (7-day avg)
2024-11-17,0.0,0.0,0.0,1.5714285714285714,0.5714285714285714,3.5714285714285716
2024-11-18,1.0,2.0,2.0,1.7142857142857142,0.8571428571428571,3.857142857142857
2024-11-19,2.0,1.0,9.0,1.2857142857142858,1.0,4.142857142857143
2024-11-20,3.0,1.0,6.0,1.4285714285714286,1.0,3.4285714285714284
2024-11-21,4.0,0.0,1.0,1.7142857142857142,0.7142857142857143,3.142857142857143
2024-11-22,1.0,3.0,4.0,1.5714285714285714,1.0,3.142857142857143
2024-11-23,0.0,0.0,0.0,1.5714285714285714,1.0,3.142857142857143
2024-11-24,0.0,0.0,0.0,1.5714285714285714,1.0,3.142857142857143
2024-11-25,1.0,0.0,4.0,1.5714285714285714,0.7142857142857143,3.4285714285714284
2024-11-26,3.0,4.0,14.0,1.7142857142857142,1.1428571428571428,4.142857142857143
2024-11-27,0.0,1.0,2.0,1.2857142857142858,1.1428571428571428,3.5714285714285716
2024-11-28,0.0,0.0,0.0,0.7142857142857143,1.1428571428571428,3.4285714285714284
2024-11-29,1.0,0.0,0.0,0.7142857142857143,0.7142857142857143,2.857142857142857
2024-11-30,0.0,0.0,0.0,0.7142857142857143,0.7142857142857143,2.857142857142857
2024-12-01,0.0,0.0,0.0,0.7142857142857143,0.7142857142857143,2.857142857142857
2024-12-02,0.0,1.0,4.0,0.5714285714285714,0.8571428571428571,2.857142857142857
2024-12-03,2.0,1.0,2.0,0.42857142857142855,0.42857142857142855,1.1428571428571428
2024-12-04,5.0,1.0,10.0,1.1428571428571428,0.42857142857142855,2.2857142857142856
2024-12-05,1.0,2.0,2.0,1.2857142857142858,0.7142857142857143,2.5714285714285716
2024-12-06,6.0,1.0,5.0,2.0,0.8571428571428571,3.2857142857142856
2024-12-07,0.0,0.0,0.0,2.0,0.8571428571428571,3.2857142857142856
2024-12-08,0.0,0.0,0.0,2.0,0.8571428571428571,3.2857142857142856
2024-12-09,1.0,1.0,1.0,2.142857142857143,0.8571428571428571,2.857142857142857
2024-12-10,3.0,1.0,1.0,2.2857142857142856,0.8571428571428571,2.7142857142857144
2024-12-11,1.0,0.0,3.0,1.7142857142857142,0.7142857142857143,1.7142857142857142
2024-12-12,0.0,0.0,5.0,1.5714285714285714,0.42857142857142855,2.142857142857143
2024-12-13,3.0,1.0,1.0,1.1428571428571428,0.42857142857142855,1.5714285714285714
2024-12-14,0.0,0.0,0.0,1.1428571428571428,0.42857142857142855,1.5714285714285714
2024-12-15,0.0,0.0,0.0,1.1428571428571428,0.42857142857142855,1.5714285714285714
2024-12-16,1.0,2.0,7.0,1.1428571428571428,0.5714285714285714,2.4285714285714284
2024-12-17,4.0,1.0,7.0,1.2857142857142858,0.5714285714285714,3.2857142857142856
